,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
676,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,785979,200.0,200.0,Motorcycle Transport,Transportation,"to buy a seat for and to paint, a motorcycle.",SV,USD,199.0,2014-10-20 16:42:50+00:00,2014-10-15 07:00:00+00:00,2014-11-02 21:40:48+00:00,14.0,2,,male,monthly,2014-10-20,2014,October,Monday
1757,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1104397,750.0,750.0,Farming,Agriculture,to buy agricultural supplies for the basic grain crops which she grows with her husband.,SV,USD,199.0,2016-06-22 16:10:19+00:00,2016-06-09 07:00:00+00:00,2016-07-22 06:02:38+00:00,14.0,28,"volunteer_pick, volunteer_like, #Repeat Borrower",female,monthly,2016-06-22,2016,June,Wednesday
364,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,718021,600.0,600.0,Personal Housing Expenses,Housing,to pay for a potable water service for her house. ,SV,USD,199.0,2014-05-29 15:22:25+00:00,2014-05-02 07:00:00+00:00,2014-06-10 15:33:08+00:00,14.0,11,,female,monthly,2014-05-29,2014,May,Thursday
2040,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1180544,525.0,800.0,General Store,Retail,"to purchase detergents, oil, personal care products, basic grains, drinks, bread, kitchen products, etc., to stock her store more.",SV,USD,199.0,2016-11-04 19:51:46+00:00,2016-10-28 07:00:00+00:00,,14.0,6,"#Repeat Borrower, #Parent, user_favorite",female,monthly,2016-11-04,2016,November,Friday
1592,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1035268,700.0,1000.0,Personal Products Sales,Retail,"to buy clothes, flip-flops, shampoos, creams, pampers nappies etc. and to continue her business sales.",SV,USD,199.0,2016-03-08 21:48:49+00:00,2016-03-01 08:00:00+00:00,,26.0,14,"#Parent, #Woman Owned Biz",female,monthly,2016-03-08,2016,March,Tuesday
2247,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1222444,1500.0,1500.0,Food Production/Sales,Food,"buy maize, cream cheese, beans, pork crackling and oil, ingredients for tortillas and pupusas",SV,USD,199.0,2017-01-18 21:43:36+00:00,2017-01-16 08:00:00+00:00,2017-02-08 22:50:05+00:00,26.0,51,"#Parent, #Single Parent, #Supporting Family, #Schooling, #Woman Owned Biz, user_favorite",female,monthly,2017-01-18,2017,January,Wednesday
2097,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1190610,1000.0,1000.0,Electronics Repair,Services,to buy more materials for her appliance repair shop.,SV,USD,199.0,2016-11-22 21:23:16+00:00,2016-11-19 08:00:00+00:00,2016-12-19 18:52:37+00:00,14.0,30,"#Repeat Borrower, #Repair Renew Replace, user_favorite, user_favorite",female,monthly,2016-11-22,2016,November,Tuesday
2023,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1176264,800.0,800.0,Cattle,Agriculture,to buy beef cattle and cattle feed.,SV,USD,199.0,2016-10-27 19:38:55+00:00,2016-10-17 07:00:00+00:00,2016-11-28 02:40:39+00:00,14.0,26,"#Repeat Borrower, #Animals, user_favorite, #Parent",female,monthly,2016-10-27,2016,October,Thursday
1894,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1142645,150.0,150.0,Farming,Agriculture,to purchase farm supplies to grow corn.,SV,USD,199.0,2016-08-30 21:43:31+00:00,2016-08-20 07:00:00+00:00,2016-09-04 18:19:00+00:00,10.0,6,user_favorite,female,bullet,2016-08-30,2016,August,Tuesday
124,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,669610,1000.0,1000.0,Bakery,Food,to build a artisan-style oven,SV,USD,199.0,2014-02-13 21:14:06+00:00,2014-01-27 08:00:00+00:00,2014-03-12 15:54:35+00:00,20.0,29,"user_favorite, #Parent, #Biz Durable Asset",female,monthly,2014-02-13,2014,February,Thursday
2587,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1304793,650.0,650.0,Clothing Sales,Clothing,to buy more clothes and perfumes to continue selling and improve her business.,SV,USD,199.0,2017-05-23 20:53:35+00:00,2017-04-29 07:00:00+00:00,2017-06-24 20:57:22+00:00,21.0,23,"#Repeat Borrower, #Parent, #Woman Owned Biz",female,monthly,2017-05-23,2017,May,Tuesday
154,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,674640,500.0,500.0,Food Production/Sales,Food,to buy corn and firewood for her tortilla sales business.,SV,USD,199.0,2014-02-21 17:14:42+00:00,2014-02-19 08:00:00+00:00,2014-03-01 05:07:08+00:00,17.0,10,,female,monthly,2014-02-21,2014,February,Friday
593,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,768012,750.0,1000.0,Personal Expenses,Personal Use,To pay off debt.,SV,USD,199.0,2014-09-12 22:13:37+00:00,2014-09-09 07:00:00+00:00,,14.0,23,"#Elderly, #Single Parent, user_favorite",male,monthly,2014-09-12,2014,September,Friday
1540,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1029303,500.0,500.0,Music Discs & Tapes,Retail,"to buy CDs wholesale and the other part to buy sugar, rice, beans, among others to stock up.",SV,USD,199.0,2016-02-25 23:45:05+00:00,2016-02-10 08:00:00+00:00,2016-03-07 14:40:02+00:00,14.0,20,"#Repeat Borrower, #Parent",male,monthly,2016-02-25,2016,February,Thursday
1669,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1055935,600.0,600.0,General Store,Retail,"to purchase basic grains, oil, toothpaste, shoe polish, bath products, beverages, candies, etc., to stock the store.",SV,USD,199.0,2016-04-18 19:45:46+00:00,2016-04-07 07:00:00+00:00,2016-05-22 01:21:39+00:00,20.0,22,"#Single, #Woman Owned Biz, user_favorite, user_favorite",female,monthly,2016-04-18,2016,April,Monday
3151,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1217748,400.0,400.0,General Store,Retail,"to buy oil, sandwich bread, sugar, milk, cereals, etc. to stock her store.",SV,USD,199.0,2017-01-09 21:28:36+00:00,2016-12-24 08:00:00+00:00,2017-01-10 04:10:11+00:00,8.0,10,#Repeat Borrower,female,monthly,2017-01-09,2017,January,Monday
840,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,833124,600.0,600.0,Personal Housing Expenses,Housing,to build a corridor in one of her children's homes. ,SV,USD,199.0,2015-01-27 20:38:41+00:00,2015-01-14 08:00:00+00:00,2015-02-26 17:00:24+00:00,14.0,20,"#Elderly, #Parent",female,monthly,2015-01-27,2015,January,Tuesday
1524,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1015487,150.0,150.0,Livestock,Agriculture,to buy pasture cattle.,SV,USD,199.0,2016-01-28 16:42:15+00:00,2016-01-16 08:00:00+00:00,2016-01-31 23:05:42+00:00,13.0,5,"#Animals, #Elderly, #Health and Sanitation, #Supporting Family, #Single, #Supporting Family",male,bullet,2016-01-28,2016,January,Thursday
903,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,841655,500.0,500.0,Personal Housing Expenses,Housing, to repair the roof of her house,SV,USD,199.0,2015-02-16 19:30:52+00:00,2015-02-09 08:00:00+00:00,2015-02-18 00:21:18+00:00,14.0,17,,female,monthly,2015-02-16,2015,February,Monday
2574,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1301214,500.0,500.0,Tailoring,Services,"to buy fabric, needles, thread,  zippers, and machine oil.",SV,USD,199.0,2017-05-18 15:14:09+00:00,2017-04-29 07:00:00+00:00,2017-05-24 19:14:07+00:00,15.0,16,"volunteer_like, #Elderly, #Fabrics",male,irregular,2017-05-18,2017,May,Thursday
2929,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1056748,800.0,800.0,Livestock,Agriculture,"to buy two heifers, which he hopes to raise so they will provide milk to sell.",SV,USD,199.0,2016-04-19 16:28:57+00:00,2016-03-31 07:00:00+00:00,2016-05-22 17:42:29+00:00,14.0,20,"#Animals, #Animals, #Biz Durable Asset, #Parent, #Schooling, #Sustainable Ag",male,bullet,2016-04-19,2016,April,Tuesday
1513,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1014769,700.0,700.0,General Store,Retail,"to buy rice, sugar, corn, beans, bread, eggs, salsas, condiments, drinks, snacks, etc., to open a store in her house.",SV,USD,199.0,2016-01-27 16:29:00+00:00,2016-01-16 08:00:00+00:00,2016-02-26 02:59:25+00:00,14.0,26,"user_favorite, #Parent, #Woman Owned Biz, #Supporting Family",female,monthly,2016-01-27,2016,January,Wednesday
3209,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1246158,800.0,800.0,Pigs,Agriculture,to buy pigs to raise and later sell.,SV,USD,199.0,2017-02-24 23:02:50+00:00,2017-02-17 08:00:00+00:00,2017-03-21 15:45:01+00:00,14.0,17,"#Repeat Borrower, #Animals, user_favorite, #Supporting Family",male,monthly,2017-02-24,2017,February,Friday
2579,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1301408,1000.0,1000.0,Agriculture,Agriculture,"to buy agricultural inputs, pay for labor, and prepare the land to plant corn and beans.",SV,USD,199.0,2017-05-18 23:10:11+00:00,2017-05-05 07:00:00+00:00,2017-05-23 21:07:13+00:00,12.0,35,"#Repeat Borrower, #Job Creator",female,monthly,2017-05-18,2017,May,Thursday
3194,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1240095,500.0,500.0,Cosmetics Sales,Retail,"to buy more lotions, nail polish, deodorants, shampoos, makeup and other beauty products to sell.",SV,USD,199.0,2017-02-16 20:21:18+00:00,2017-02-13 08:00:00+00:00,2017-02-21 17:53:13+00:00,20.0,18,"#Woman Owned Biz, #Elderly, #Repeat Borrower",female,monthly,2017-02-16,2017,February,Thursday
1165,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,909640,500.0,500.0,Agriculture,Agriculture,to make 2 coffee nurseries to improve his farm.,SV,USD,199.0,2015-06-27 18:22:19+00:00,2015-06-22 07:00:00+00:00,2015-08-12 00:13:22+00:00,14.0,17,"#Elderly, #Vegan, #Trees",male,monthly,2015-06-27,2015,June,Saturday
1027,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,868525,500.0,500.0,General Store,Retail,"To buy a refrigerator and sodas, and to make soft drinks to sell at home.",SV,USD,199.0,2015-04-10 22:07:36+00:00,2015-03-27 07:00:00+00:00,2015-04-17 17:18:53+00:00,18.0,17,,female,monthly,2015-04-10,2015,April,Friday
1903,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1143314,1000.0,1000.0,General Store,Retail,"purchase basic grains, coffee, condiments, drinks, cooking oil, detergents, cleaning products, canned foods, etc., to restock his store.",SV,USD,199.0,2016-08-31 19:45:11+00:00,2016-08-04 07:00:00+00:00,2016-10-25 15:43:35+00:00,14.0,36,"#Parent, user_favorite",male,monthly,2016-08-31,2016,August,Wednesday
2088,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1186994,350.0,900.0,Retail,Retail,"to purchase more beauty care products and clothing to sell, and to get repairs done on the pickup truck she uses for work.",SV,USD,199.0,2016-11-17 18:32:48+00:00,2016-11-08 08:00:00+00:00,,26.0,9,"#Repair Renew Replace, #Woman Owned Biz",female,monthly,2016-11-17,2016,November,Thursday
1849,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1126624,350.0,350.0,Farm Supplies,Agriculture,"to buy seeds, fertilizer and herbicide to grow his basic grains.",SV,USD,199.0,2016-07-30 14:46:07+00:00,2016-07-22 07:00:00+00:00,2016-09-05 10:19:14+00:00,11.0,10,"#Parent, #Vegan",male,bullet,2016-07-30,2016,July,Saturday
1400,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,979521,1300.0,1300.0,Cattle,Agriculture,to buy heifers,SV,USD,199.0,2015-11-16 15:42:15+00:00,2015-11-11 08:00:00+00:00,2015-12-18 18:40:22+00:00,14.0,38,"#Parent, #Animals, #Supporting Family",female,irregular,2015-11-16,2015,November,Monday
2781,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,909609,300.0,300.0,Cosmetics Sales,Retail,"to buy more products such as lotion, creams, and makeup to sell.  ",SV,USD,199.0,2015-06-27 16:54:48+00:00,2015-05-30 07:00:00+00:00,2015-08-10 14:32:40+00:00,14.0,7,"#Single Parent, #Woman Owned Biz",female,monthly,2015-06-27,2015,June,Saturday
2133,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1195571,500.0,500.0,General Store,Retail,to buy stock for her store and food for the pigs.,SV,USD,199.0,2016-11-29 13:38:42+00:00,2016-11-16 08:00:00+00:00,2016-12-25 18:05:23+00:00,14.0,6,"user_favorite, #Elderly, #Repeat Borrower, #Animals, #Woman Owned Biz",female,monthly,2016-11-29,2016,November,Tuesday
1897,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1142581,500.0,500.0,Fruits & Vegetables,Food,"to buy fruits, vegetables and bread in order to continue his selling, and to buy his own bicycle in order to travel for his sales.",SV,USD,199.0,2016-08-30 17:45:09+00:00,2016-08-25 07:00:00+00:00,2016-09-08 21:07:23+00:00,14.0,20,"#Single Parent, #Parent, #Biz Durable Asset",male,monthly,2016-08-30,2016,August,Tuesday
1186,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,914282,1000.0,1000.0,Food Production/Sales,Food,to buy ingredients like maize and wood to make tortillas and to buy four pigs to fatten and then butcher to sell their meat.,SV,USD,199.0,2015-07-07 20:13:48+00:00,2015-06-22 07:00:00+00:00,2015-07-23 13:19:45+00:00,17.0,36,"#Elderly, #Animals, #Single Parent, #Widowed, #Woman Owned Biz",female,monthly,2015-07-07,2015,July,Tuesday
258,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,696944,600.0,600.0,Agriculture,Agriculture,to buy fertilizers to grow watermelons,SV,USD,199.0,2014-04-11 16:25:08+00:00,2014-04-04 07:00:00+00:00,2014-04-23 04:20:37+00:00,8.0,16,,male,bullet,2014-04-11,2014,April,Friday
2295,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1233018,600.0,600.0,Cattle,Agriculture,to buy cattle.,SV,USD,199.0,2017-02-06 20:32:15+00:00,2017-01-25 08:00:00+00:00,2017-03-08 20:08:05+00:00,14.0,14,"#Animals, #Parent, user_favorite",male,bullet,2017-02-06,2017,February,Monday
1910,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1154991,1000.0,1000.0,Weaving,Arts,to buy an industrial sewing machine to continue making clothing. ,SV,USD,199.0,2016-09-21 21:59:08+00:00,2016-09-12 07:00:00+00:00,2016-09-26 19:22:11+00:00,26.0,38,"#Biz Durable Asset, #Widowed, #Fabrics",female,monthly,2016-09-21,2016,September,Wednesday
2225,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1215453,1000.0,1000.0,Pigs,Agriculture,"to buy 4 pigs, and maize, soft cheese, fried pork rind, beans and oil to make ""Pupusas"" ( corn tortilla)  for sale.",SV,USD,199.0,2017-01-04 20:27:37+00:00,2016-12-30 08:00:00+00:00,2017-01-18 17:22:24+00:00,21.0,37,"#Parent, #Woman Owned Biz, #Single Parent, #Animals, user_favorite, user_favorite",female,monthly,2017-01-04,2017,January,Wednesday
321,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,707651,800.0,800.0,Agriculture,Agriculture,to buy soil amendments and poison to work with his watermelons,SV,USD,199.0,2014-05-08 16:43:32+00:00,2014-04-23 07:00:00+00:00,2014-06-17 17:41:44+00:00,14.0,28,"volunteer_pick, #Parent",male,irregular,2014-05-08,2014,May,Thursday
1666,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1053753,1000.0,1000.0,General Store,Retail,"to buy merchandise for her store, including corn, sugar, drinks, bath products, bread, condiments, etc.",SV,USD,199.0,2016-04-13 14:30:37+00:00,2016-04-09 07:00:00+00:00,2016-04-22 05:07:59+00:00,26.0,40,"#Elderly, #Single, #Woman Owned Biz",female,monthly,2016-04-13,2016,April,Wednesday
1336,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,960113,950.0,950.0,Retail,Retail,to buy flowers and other materials to make floral wreaths,SV,USD,199.0,2015-10-08 16:47:40+00:00,2015-10-07 07:00:00+00:00,2015-10-20 02:36:21+00:00,8.0,35,"#Single Parent, #Repeat Borrower, #Parent, #Woman Owned Biz, #Supporting Family, #Vegan",female,bullet,2015-10-08,2015,October,Thursday
1177,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,910955,600.0,600.0,Agriculture,Agriculture,"to buy agricultural inputs such as fertilizers, insecticides, fungicide, and herbicides to manage her squash plants.  ",SV,USD,199.0,2015-06-30 19:35:27+00:00,2015-06-04 07:00:00+00:00,2015-08-14 06:05:20+00:00,14.0,24,"#Inspiring Story, #Vegan, #Single Parent",female,monthly,2015-06-30,2015,June,Tuesday
2204,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1213226,300.0,300.0,Food Production/Sales,Food,"to buy corn, chicken, oil, condiments, vegetables, and salt for making and selling tamales.",SV,USD,199.0,2016-12-29 21:02:36+00:00,2016-12-05 08:00:00+00:00,2017-01-01 07:22:24+00:00,14.0,6,"#Woman Owned Biz, #Repeat Borrower",female,monthly,2016-12-29,2016,December,Thursday
90,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,665867,600.0,600.0,Vehicle,Personal Use,to buy paint to paint his car.,SV,USD,199.0,2014-02-05 15:36:20+00:00,2014-01-31 08:00:00+00:00,2014-03-28 19:04:39+00:00,14.0,22,#Parent,male,monthly,2014-02-05,2014,February,Wednesday
2598,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1306048,500.0,500.0,General Store,Retail,to purchase more basic products to sell in the store.,SV,USD,199.0,2017-05-24 20:46:46+00:00,2017-05-16 07:00:00+00:00,2017-06-23 13:19:24+00:00,14.0,13,#Parent,male,monthly,2017-05-24,2017,May,Wednesday
3077,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1155994,400.0,400.0,Agriculture,Agriculture,to buy fertilizers and pesticides for his bean crops.,SV,USD,199.0,2016-09-22 20:05:02+00:00,2016-09-19 07:00:00+00:00,2016-10-20 15:02:29+00:00,9.0,16,"#Parent, user_favorite",male,bullet,2016-09-22,2016,September,Thursday
